"Name","Version","Folder","SizeMB","SizeGB","Large"
"openai.chatgpt","26.5707.71524-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\openai.chatgpt-26.5707.71524-win32-x64","876.89","0.856","是"
"openai.chatgpt","26.5623.141536-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\openai.chatgpt-26.5623.141536-win32-x64","724.61","0.708","是"
"lightrun.debug0-vscode-plugin","0.8.11-universal","C:\Users\PCCPPPCCC\.positron\extensions\lightrun.debug0-vscode-plugin-0.8.11-universal","666.97","0.651","是"
"highagency.pencildev","0.6.61-universal","C:\Users\PCCPPPCCC\.positron\extensions\highagency.pencildev-0.6.61-universal","665.01","0.649","是"
"secvibe.secvibe","1.0.10","C:\Users\PCCPPPCCC\.positron\extensions\secvibe.secvibe-1.0.10","478.32","0.467","是"
"kternai.codegenie-agent","2.0.9-universal","C:\Users\PCCPPPCCC\.positron\extensions\kternai.codegenie-agent-2.0.9-universal","464.27","0.453","是"
"spirit-bird-aicodex.spirit-bird-codexspaces","1.3.4-universal","C:\Users\PCCPPPCCC\.positron\extensions\spirit-bird-aicodex.spirit-bird-codexspaces-1.3.4-universal","443.96","0.434","是"
"trytriplex.triplex-vsce","0.72.5","C:\Users\PCCPPPCCC\.positron\extensions\trytriplex.triplex-vsce-0.72.5","441.24","0.431","是"
"redhat.vscode-openshift-connector","1.21.1-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\redhat.vscode-openshift-connector-1.21.1-win32-x64","435.59","0.425","是"
"jetro-ai.jetro","0.1.16-universal","C:\Users\PCCPPPCCC\.positron\extensions\jetro-ai.jetro-0.1.16-universal","411.05","0.401","是"
"cann-pub.cannbot-toolkit","1.0.10-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\cann-pub.cannbot-toolkit-1.0.10-win32-x64","395.44","0.386","是"
"kleinicke.ply-visualizer","1.6.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\kleinicke.ply-visualizer-1.6.1-universal","377.79","0.369","是"
"postqode.postqode","3.0.18-universal","C:\Users\PCCPPPCCC\.positron\extensions\postqode.postqode-3.0.18-universal","371.98","0.363","是"
"kilocode.kilo-code","7.4.7-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\kilocode.kilo-code-7.4.7-win32-x64","359.7","0.351","是"
"itv3.zlfcode","7.4.507-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\itv3.zlfcode-7.4.507-win32-x64","356.44","0.348","是"
"itv3.kilo-code-plus","7.4.103-win32-x64","C:\Users\PCCPPPCCC\.positron\extensions\itv3.kilo-code-plus-7.4.103-win32-x64","354.99","0.347","是"
"edigonzales.interlis-editor","0.0.31-universal","C:\Users\PCCPPPCCC\.positron\extensions\edigonzales.interlis-editor-0.0.31-universal","351.73","0.343","是"
"googlecloudtools.cloudcode","2.40.0-universal","C:\Users\PCCPPPCCC\.positron\extensions\googlecloudtools.cloudcode-2.40.0-universal","342.45","0.334","是"
"maxie-homrich.copilot-for-vscode-oss","1.0.1-universal","C:\Users\PCCPPPCCC\.positron\extensions\maxie-homrich.copilot-for-vscode-oss-1.0.1-universal","325.2","0.318","是"
