"Extension","Folder","SizeMB","Level"
"openai.chatgpt","openai.chatgpt-26.5707.71524-win32-x64","876.89","?"
"lightrun.debug0-vscode-plugin","lightrun.debug0-vscode-plugin-0.8.11-universal","666.97","?"
"highagency.pencildev","highagency.pencildev-0.6.61-universal","665.01","?"
"secvibe.secvibe","secvibe.secvibe-1.0.10","478.32","?"
"kternai.codegenie-agent","kternai.codegenie-agent-2.0.9-universal","464.27","?"
"spirit-bird-aicodex.spirit-bird-codexspaces","spirit-bird-aicodex.spirit-bird-codexspaces-1.3.4-universal","443.96","?"
"trytriplex.triplex-vsce","trytriplex.triplex-vsce-0.72.5","441.24","?"
"redhat.vscode-openshift-connector","redhat.vscode-openshift-connector-1.21.1-win32-x64","435.59","?"
"jetro-ai.jetro","jetro-ai.jetro-0.1.16-universal","411.05","?"
"cann-pub.cannbot-toolkit","cann-pub.cannbot-toolkit-1.0.10-win32-x64","395.44","?"
"kleinicke.ply-visualizer","kleinicke.ply-visualizer-1.6.1-universal","377.79","?"
"postqode.postqode","postqode.postqode-3.0.18-universal","371.98","?"
"kilocode.kilo-code","kilocode.kilo-code-7.4.7-win32-x64","359.7","?"
"itv3.zlfcode","itv3.zlfcode-7.4.507-win32-x64","356.44","?"
"itv3.kilo-code-plus","itv3.kilo-code-plus-7.4.103-win32-x64","354.99","?"
"edigonzales.interlis-editor","edigonzales.interlis-editor-0.0.31-universal","351.73","?"
"googlecloudtools.cloudcode","googlecloudtools.cloudcode-2.40.0-universal","342.45","?"
"maxie-homrich.copilot-for-vscode-oss","maxie-homrich.copilot-for-vscode-oss-1.0.1-universal","325.2","?"
"sonarsource.sonarlint-vscode","sonarsource.sonarlint-vscode-5.5.0-win32-x64","319.34","?"
"solenodontelabs.feather-cli-vscode","solenodontelabs.feather-cli-vscode-3.3.1-universal","318.86","?"
"jinno.codelens-sample","jinno.codelens-sample-2.13.3-win32-x64","310.42","?"
"jetbrains.jetbrains-ai-assistant","jetbrains.jetbrains-ai-assistant-0.0.20-win32-x64","305.52","?"
"dotnetdev-kr-custom.csharp","dotnetdev-kr-custom.csharp-2.145.15-win32-x64","304.14","?"
"panekj.powershell","panekj.powershell-2021.10.0-universal","302.99","?"
"kide.kide-test-explorer","kide.kide-test-explorer-26.7.196-win32-x64","302.32","?"
"ms-vscode.powershell","ms-vscode.powershell-2025.4.0-universal","300.93","?"
"redhat.granitecode","redhat.granitecode-0.6.0-win32-x64","300.82","?"
"panekj.powershell-preview","panekj.powershell-preview-2021.7.0-universal","300.06","?"
"darkflows.codersinflow","darkflows.codersinflow-0.0.1765","298.13","?"
"oracle.oracle-java","oracle.oracle-java-26.0.0-universal","296.31","?"
"quickdb.quickdb","quickdb.quickdb-1.1.5-universal","293.08","?"
"mosaico.mosaico-reference-client","mosaico.mosaico-reference-client-0.3.0-win32-x64","286.14","?"
"nxgentech.reposcope-ai","nxgentech.reposcope-ai-6.1.19-universal","285.19","?"
"zqt.asset-manage","zqt.asset-manage-0.2.6-universal","283.1","?"
"nvidia.nsight-copilot","nvidia.nsight-copilot-2026.1.19-win32-x64","282","?"
"knoxchat.knoxchat","knoxchat.knoxchat-1.2.7-win32-x64","274.81","?"
"tinkercode.trident","tinkercode.trident-0.1.3-universal","274.68","?"
"microchip.mplab-ai-coding-assistant","microchip.mplab-ai-coding-assistant-1.2.4","270.66","?"
"sourcery.sourcery","sourcery.sourcery-1.43.0-win32-x64","269.78","?"
"youzan.zode","youzan.zode-0.3.9","268.56","?"
"salesforce.salesforcedx-einstein-gpt","salesforce.salesforcedx-einstein-gpt-4.15.0-win32-x64","262.94","?"
"rjmacarthy.twinny","rjmacarthy.twinny-3.23.31-win32-x64","261.18","?"
"anthropic.claude-code","anthropic.claude-code-2.1.210-win32-x64","249.78","?"
"pixelpilotailabs.pixelpilot-copilot","pixelpilotailabs.pixelpilot-copilot-3.1.1-universal","245.41","?"
"debugg-ai.debugg-ai","debugg-ai.debugg-ai-1.0.35","244.72","?"
"ourcelium.ourcelium","ourcelium.ourcelium-0.1.2-universal","243.55","?"
"kowstol.container-tool-debug","kowstol.container-tool-debug-2.4.5-universal","238.22","?"
