"Folder","SizeGB"
"C:\Users\PCCPPPCCC\Documents\.tmp.driveupload","1.06"
"C:\Users\PCCPPPCCC\AppData\Local\uv\cache","0.74"
"C:\Users\PCCPPPCCC\miniconda3\pkgs\cache","0.54"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Edge\User Data\Default\Service Worker\CacheStorage","0.47"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Edge\User Data\Default\Service Worker","0.47"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Default\Cache","0.25"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Default\Cache\old_Cache_Data_000","0.24"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Profile 1\Code Cache","0.22"
"C:\Users\PCCPPPCCC\AppData\Local\R\cache","0.21"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\office6\wps-doc-repairer\cache","0.21"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\CometUpdater\crx_cache","0.19"
"C:\Users\PCCPPPCCC\.positron\extensions\secvibe.secvibe-1.0.10\tmp","0.19"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Edge\User Data\component_crx_cache","0.18"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\LocalCache","0.17"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\LocalCache\Roaming\Microsoft\Skype for Store\Crashpad","0.16"
"C:\Users\PCCPPPCCC\AppData\Local\JetBrains\PyCharm2026.1\caches","0.15"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Default\Code Cache","0.15"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Profile 1\Cache","0.14"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Profile 1\Cache\Cache_Data","0.14"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Olk\EBWebView\Default\Service Worker\CacheStorage","0.13"
"C:\Users\PCCPPPCCC\.codex\.tmp","0.13"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Default\Cache\Cache_Data","0.13"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Default\Cache","0.13"
"C:\Users\PCCPPPCCC\AppData\Local\Microsoft\Olk\EBWebView\Default\Service Worker","0.13"
"C:\Users\PCCPPPCCC\.local\state\positron\logs","0.11"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Profile 1\Service Worker","0.1"
"C:\Users\PCCPPPCCC\AppData\Local\Temp","0.1"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\57868Codaapp.AppsforGmail_4bn2s5v6tep1y\LocalCache","0.1"
"C:\Users\PCCPPPCCC\AppData\Local\uv\cache\.tmp5bNWI4","0.09"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Default\Service Worker\CacheStorage","0.09"
