Extension,Versions
abacusai.abacusai-agent,"1.22.2-win32-x64, 1.22.3-win32-x64"
bastndev.atm,"2.0.0-universal, 2.0.1-universal"
codeagentmobile.codeagent-mobile,"2.60.60-universal, 2.60.67-universal"
damolinx.tracciatto,"0.3.6-universal, 0.3.7-universal"
epochix.epochix,"0.5.17-universal, 0.5.21-universal"
estock.estock-watcher,"0.9.0-universal, 0.9.1-universal"
everyapi-ai.everyapi-vscode,"1.5.0-universal, 1.6.0-universal"
gudlab.guddb,"0.6.0-universal, 0.7.0-universal"
jianger666.cursor-feedback,"2.7.6-universal, 2.7.7-universal"
kerno.kerno,"0.11.3-universal, 0.11.4-universal"
keyfire.xbsl-debug,"0.1.9-universal, 0.2.0-universal"
kswpsclaude.wps-claude-vscode,"0.3.7-universal, 0.4.0-universal"
localstack.localstack,"1.10.0-universal, 1.11.0-universal"
microi.v8-engine,"3.6.7-universal, 3.7.3-universal"
modiqo.rote,"0.36.1-universal, 0.36.2-universal"
mytooyodev.richdown,"0.7.1-universal, 0.7.3-universal"
neoresearchinc.heyneo,"1.1.2-universal, 1.2.0-universal"
okahuai.okahu-ai-observability,"0.6.2-universal, 0.6.3-universal"
redhat.vscode-yaml,"1.25.2026070808-universal, 1.25.2026071508-universal"
rstack.rstest,"0.11.0-win32-x64, 0.11.2-win32-x64"
salesforce.salesforcedx-vscode-services,"67.4.0-universal, 67.5.0-universal"
shanjidarefin.c-through,"2.2.11-universal, 2.3.3-universal"
tldraw-org.tldraw-vscode,"2.297.0-universal, 2.298.0-universal"
wheelbarrel00.claude-code-usage-tracker-wb00,"1.4.0-universal, 1.5.0-universal"
yuri-schimke.compose-preview,"0.16.47-universal, 0.16.48-universal"
zstings.claude-code-zh-cn,"1.1.6-universal, 1.4.4-universal"
