Extension,Version,Folder,SizeMB,SizeGB
openai.chatgpt,26.5707.71524-win32-x64,openai.chatgpt-26.5707.71524-win32-x64,876.89,0.856
lightrun.debug0-vscode-plugin,0.8.11-universal,lightrun.debug0-vscode-plugin-0.8.11-universal,666.97,0.651
highagency.pencildev,0.6.61-universal,highagency.pencildev-0.6.61-universal,665.01,0.649
secvibe.secvibe,1.0.10,secvibe.secvibe-1.0.10,478.32,0.467
kternai.codegenie-agent,2.0.9-universal,kternai.codegenie-agent-2.0.9-universal,464.27,0.453
spirit-bird-aicodex.spirit-bird-codexspaces,1.3.4-universal,spirit-bird-aicodex.spirit-bird-codexspaces-1.3.4-universal,443.96,0.434
trytriplex.triplex-vsce,0.72.5,trytriplex.triplex-vsce-0.72.5,441.24,0.431
redhat.vscode-openshift-connector,1.21.1-win32-x64,redhat.vscode-openshift-connector-1.21.1-win32-x64,435.59,0.425
jetro-ai.jetro,0.1.16-universal,jetro-ai.jetro-0.1.16-universal,411.05,0.401
cann-pub.cannbot-toolkit,1.0.10-win32-x64,cann-pub.cannbot-toolkit-1.0.10-win32-x64,395.44,0.386
kleinicke.ply-visualizer,1.6.1-universal,kleinicke.ply-visualizer-1.6.1-universal,377.79,0.369
postqode.postqode,3.0.18-universal,postqode.postqode-3.0.18-universal,371.98,0.363
kilocode.kilo-code,7.4.7-win32-x64,kilocode.kilo-code-7.4.7-win32-x64,359.7,0.351
itv3.zlfcode,7.4.507-win32-x64,itv3.zlfcode-7.4.507-win32-x64,356.44,0.348
itv3.kilo-code-plus,7.4.103-win32-x64,itv3.kilo-code-plus-7.4.103-win32-x64,354.99,0.347
edigonzales.interlis-editor,0.0.31-universal,edigonzales.interlis-editor-0.0.31-universal,351.73,0.343
googlecloudtools.cloudcode,2.40.0-universal,googlecloudtools.cloudcode-2.40.0-universal,342.45,0.334
maxie-homrich.copilot-for-vscode-oss,1.0.1-universal,maxie-homrich.copilot-for-vscode-oss-1.0.1-universal,325.2,0.318
sonarsource.sonarlint-vscode,5.5.0-win32-x64,sonarsource.sonarlint-vscode-5.5.0-win32-x64,319.34,0.312
solenodontelabs.feather-cli-vscode,3.3.1-universal,solenodontelabs.feather-cli-vscode-3.3.1-universal,318.86,0.311
jinno.codelens-sample,2.13.3-win32-x64,jinno.codelens-sample-2.13.3-win32-x64,310.42,0.303
jetbrains.jetbrains-ai-assistant,0.0.20-win32-x64,jetbrains.jetbrains-ai-assistant-0.0.20-win32-x64,305.52,0.298
